,Edad,Peso (Kg),Estatura (metros),Tiempo de actividad física diaría (horas),Días de actividad (por semana) ,Consumo de agua por día (litros),Comidas al día ,Bebidas gaseosas (Refrescos) (litros por día),Horas sentado durante el día ,Horas de sueño por día,Cantidad de cheve por seman (litros),Consumes comida chatarra de forma cotidiana
0,20,90.0,1.8,0.0,2,5.0,3,0.0,13,6.0,0.0,0
1,18,54.0,1.57,2.0,5,1.5,4,0.0,7,5.0,0.0,1
2,18,56.0,1.58,2.0,6,2.0,5,0.0,10,6.0,0.0,0
3,18,80.0,1.82,1.0,6,2.0,5,0.0,8,8.0,1.0,0
4,19,50.0,1.53,1.0,7,2.0,4,0.0,8,8.0,0.0,0
5,18,52.0,1.65,1.0,6,2.0,3,0.0,10,8.0,0.0,0
6,19,46.4,1.61,0.5,4,0.8,4,0.0,8,7.5,0.0,0
7,18,135.0,1.84,0.0,0,3.0,4,0.0,7,7.0,0.0,0
8,19,46.0,1.56,2.0,5,1.0,4,0.0,5,6.0,0.0,0
9,18,110.0,1.93,2.0,3,4.0,3,0.0,15,6.0,0.0,1
10,18,45.0,1.63,0.33,7,2.0,4,1.0,8,8.0,0.0,0
11,18,55.0,1.6,0.5,3,2.0,4,0.0,6,7.0,0.0,0
12,35,104.0,1.76,1.5,5,3.0,3,0.0,7,8.0,2.0,1
13,19,65.0,1.62,1.0,5,1.0,3,0.5,10,7.0,0.0,1
14,18,55.0,1.48,4.0,6,2.0,3,0.0,8,8.0,0.0,1
15,18,65.0,1.62,2.0,7,1.0,2,1.0,10,8.0,0.0,1
16,18,43.0,1.52,1.0,3,3.0,3,0.0,7,8.0,3.0,0
17,19,66.0,1.74,2.0,4,0.5,3,0.0,12,7.0,3.0,0
18,54,89.0,1.86,0.0,0,2.0,3,2.0,2,8.0,2.0,1
19,18,50.0,1.67,1.0,5,2.0,3,0.0,6,5.0,0.0,1
20,19,63.0,1.64,2.0,5,1.5,3,0.0,5,6.0,2.0,0
21,18,75.0,1.62,1.0,4,2.0,2,1.0,8,7.0,0.0,1
