     #MC step,      Etot,     sig666,   sig655,   sig555,   sig544,   sig533,   sig532,   sig522,   sig521,   sig444,   sig433,   sig422,   sig421,   sig411,   sig400,   sig322,   sig311,   sig300,   sig211,   sig200,   sig100,   sig000
         1,     -140.131165, 0.000000, 0.000000, 0.085427, 0.075377, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.150754, 0.125628, 0.035176, 0.000000, 0.000000, 0.185930, 0.180905, 0.010050, 0.085427, 0.065327, 0.000000, 0.000000
         2,     -140.101562, 0.000000, 0.000000, 0.071749, 0.076233, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.134529, 0.134529, 0.035874, 0.008969, 0.000000, 0.206278, 0.165919, 0.017937, 0.076233, 0.067265, 0.004484, 0.000000
         3,     -140.188950, 0.004444, 0.000000, 0.208889, 0.062222, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.244444, 0.026667, 0.017778, 0.000000, 0.000000, 0.253333, 0.057778, 0.000000, 0.093333, 0.031111, 0.000000, 0.000000
         4,     -140.363754, 0.004348, 0.000000, 0.182609, 0.082609, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.156522, 0.065217, 0.026087, 0.004348, 0.000000, 0.234783, 0.134783, 0.004348, 0.052174, 0.052174, 0.000000, 0.000000
         5,     -139.797348, 0.000000, 0.000000, 0.054054, 0.103604, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.135135, 0.126126, 0.117117, 0.000000, 0.000000, 0.144144, 0.117117, 0.000000, 0.153153, 0.045045, 0.004505, 0.000000
         6,     -140.533646, 0.004386, 0.000000, 0.153509, 0.078947, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.157895, 0.052632, 0.026316, 0.004386, 0.000000, 0.285088, 0.127193, 0.013158, 0.057018, 0.035088, 0.004386, 0.000000
         7,     -139.346710, 0.000000, 0.000000, 0.031579, 0.042105, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.110526, 0.157895, 0.094737, 0.010526, 0.000000, 0.173684, 0.210526, 0.010526, 0.068421, 0.089474, 0.000000, 0.000000
         8,     -139.815521, 0.000000, 0.000000, 0.067568, 0.076577, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.148649, 0.058559, 0.076577, 0.009009, 0.000000, 0.238739, 0.171171, 0.027027, 0.063063, 0.054054, 0.009009, 0.000000
         9,     -140.290558, 0.000000, 0.000000, 0.040541, 0.085586, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.153153, 0.108108, 0.063063, 0.004505, 0.000000, 0.180180, 0.198198, 0.009009, 0.063063, 0.090090, 0.004505, 0.000000
        10,     -140.363754, 0.009756, 0.000000, 0.214634, 0.043902, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.146341, 0.092683, 0.009756, 0.000000, 0.000000, 0.268293, 0.082927, 0.024390, 0.034146, 0.073171, 0.000000, 0.000000
        11,     -140.388794, 0.000000, 0.000000, 0.049327, 0.053812, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.121076, 0.112108, 0.103139, 0.000000, 0.000000, 0.192825, 0.215247, 0.017937, 0.026906, 0.103139, 0.004484, 0.000000
