,Unnamed: 0,Edad (años),Peso (en kilogramos),Estatura (en metros),Horas de actividad física (por semana) ,Cantidad de horas de sueño diarias,Cantidad de hora sentado al día,Cantidad de agua consumida por día (en litros),"Consumo diario de bebidas azucaradas (refrescos, jugos, etc.) en litros.",Consumo de cerveza por semana (en litros),Cantidad de comidas diarias,Visitas diarias al baño?,Padeces alguna enfermedad que te impida ejercitarte?,Padeces alguna enfermedad que influya en tu peso?,Consumes comida chatarra de forma cotidiana?,Consideras que sigues una dieta saludable?
0,0,20,48.0,1.52,0.0,6.0,12.0,1,0,0,3.0,3,0,0,1,0
1,1,18,52.0,1.63,8.0,8.0,6.0,1,0,0,5.0,1,0,0,0,1
2,2,18,52.0,1.76,4.0,7.0,8.0,2,0.05,0,4.0,2,0,0,0,1
3,3,18,63.0,1.68,5.0,7.0,6.0,1.5,0.25,0,4.0,5,0,0,0,0
4,4,18,63.0,1.66,5.0,7.0,5.0,2,0,0,3.0,3,0,0,0,0
5,5,18,48.5,1.66,1.0,6.0,7.0,1,1,0,3.0,4,0,0,0,1
6,6,18,65.0,1.65,2.0,7.0,7.0,1.5,0,0,3.0,1,0,0,1,0
7,7,19,55.0,1.55,6.0,7.0,10.0,2,0,0,3.0,5,0,0,0,1
8,8,18,80.0,1.7,5.0,6.0,12.0,2,1,0,4.0,1,0,0,0,0
9,9,25,75.0,1.71,10.0,8.0,10.0,2,0.2,2,3.0,4,0,0,0,1
10,10,18,84.0,1.74,4.0,7.0,8.0,2,1,0,3.0,3,0,0,0,0
11,11,19,55.0,1.73,5.0,6.0,8.0,2,2,0,3.0,4,0,1,1,1
12,12,18,59.0,1.65,3.0,7.0,9.0,1,1,0,3.0,1,0,0,1,0
13,13,18,66.0,1.8,8.0,7.0,7.0,2,0.5,0,3.0,3,0,0,0,1
14,14,18,78.0,1.92,12.0,7.0,8.0,3,2,6,3.0,3,0,0,1,0
15,15,18,55.0,1.63,5.0,6.0,11.0,1.5,1,0,5.0,1,0,0,1,0
16,16,18,53.0,1.6,4.5,8.0,10.0,1,0,0,4.0,8,0,0,0,1
17,17,18,50.0,1.57,0.0,6.0,12.0,1,0,0,3.0,5,0,0,0,0
18,18,19,65.0,1.68,4.0,8.0,6.0,2,1,0,3.0,5,0,0,1,0
19,19,18,42.0,1.58,3.0,7.0,6.0,1,0.5,0,3.0,5,0,0,0,0
20,20,19,47.0,1.56,5.0,7.0,19.0,1,0,1,5.0,3,0,0,1,0
21,21,18,107.0,1.95,8.0,7.0,8.0,2,1,0,3.0,4,0,0,0,0
22,22,19,55.0,1.68,2.0,5.0,5.0,2,0,0,3.0,5,0,0,1,0
23,23,18,62.0,1.7,12.0,8.0,5.0,2,1,1,4.0,4,0,0,1,1
24,24,19,72.0,1.68,12.5,4.0,10.0,2.5,0,0,4.0,4,0,0,0,0
25,25,18,65.0,1.62,9.0,6.0,8.0,1,1,3,4.0,2,0,0,1,1
26,26,18,59.0,1.6,6.0,8.0,5.0,3,0,0,3.0,4,1,0,1,0
27,27,37,85.5,1.58,0.0,7.0,3.0,2,0.5,0,3.0,5,0,0,0,0
28,28,18,48.0,1.6,5.0,8.0,6.0,1,0.5,0,4.0,1,0,1,1,0
29,29,18,56.0,1.59,3.0,6.5,7.0,0.5,0.2,0,4.0,3,0,0,0,0
30,30,18,70.0,1.82,24.0,5.0,8.0,3,0,0,6.0,8,0,0,0,1
31,31,19,40.0,1.67,0.0,6.0,17.0,1,0.5,0,2.0,3,0,0,0,0
32,32,19,55.0,1.66,9.0,8.0,8.0,1,0.5,0,5.0,3,0,0,0,1
33,33,23,75.0,1.8,6.0,8.0,8.0,2,1,0,3.0,6,0,0,0,0
34,34,17,53.0,1.52,5.0,7.0,9.0,2.5,0,0,3.0,5,0,1,0,1
35,35,18,80.0,1.66,2.0,6.0,8.0,2,1,0,2.0,2,0,0,1,0
